route_id,route_name_fr,zone_type,combat_enabled,encounter_species_count,methods,background_image,source_location
"hoenn_route_125","Route 125 (Hoenn)","route","true","6","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_125_emerald.png","route-125"
"hoenn_dungeon_shoal_cave","Shoal Cave (Hoenn)","dungeon","true","7","good-rod|old-rod|super-rod|surf|walk","assets/backgrounds/hoenn_dungeon_shoal_cave_emerald.png","shoal-cave"
"hoenn_dungeon_underwater_route_124","Underwater Route 124 (Hoenn)","dungeon","true","3","surf","assets/backgrounds/hoenn_dungeon_underwater_route_124_emerald.png","underwater-route-124"
"hoenn_dungeon_underwater_route_125","Underwater Route 125 (Hoenn)","dungeon","false","0","","assets/backgrounds/hoenn_dungeon_underwater_route_125_emerald.png","underwater-route-125"
"hoenn_dungeon_underwater_route_105","Underwater Route 105 (Hoenn)","dungeon","false","0","","assets/backgrounds/hoenn_dungeon_underwater_route_105_emerald.png","underwater-route-105"
"hoenn_route_127","Route 127 (Hoenn)","route","true","6","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_127_emerald.png","route-127"
"hoenn_dungeon_underwater_route_127","Underwater Route 127 (Hoenn)","dungeon","false","0","","assets/backgrounds/hoenn_dungeon_underwater_route_127_emerald.png","underwater-route-127"
"hoenn_route_126","Route 126 (Hoenn)","route","true","6","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_126_emerald.png","route-126"
"hoenn_dungeon_underwater_route_126","Underwater Route 126 (Hoenn)","dungeon","true","3","surf","assets/backgrounds/hoenn_dungeon_underwater_route_126_emerald.png","underwater-route-126"
"hoenn_city_sootopolis_city","Sootopolis City (Hoenn)","town","false","3","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_city_sootopolis_city_emerald.png","sootopolis-city"
"hoenn_route_128","Route 128 (Hoenn)","route","true","7","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_128_emerald.png","route-128"
"hoenn_dungeon_underwater_route_128","Underwater Route 128 (Hoenn)","dungeon","false","0","","assets/backgrounds/hoenn_dungeon_underwater_route_128_emerald.png","underwater-route-128"
"hoenn_dungeon_seafloor_cavern","Seafloor Cavern (Hoenn)","dungeon","true","5","good-rod|old-rod|super-rod|surf|walk","assets/backgrounds/hoenn_dungeon_seafloor_cavern_emerald.png","seafloor-cavern"
"hoenn_route_129","Route 129 (Hoenn)","route","true","7","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_129_emerald.png","route-129"
"hoenn_dungeon_underwater_route_129","Underwater Route 129 (Hoenn)","dungeon","false","0","","assets/backgrounds/hoenn_dungeon_underwater_route_129_emerald.png","underwater-route-129"
"hoenn_route_130","Route 130 (Hoenn)","route","true","7","good-rod|old-rod|super-rod|surf|walk","assets/backgrounds/hoenn_route_130_emerald.png","route-130"
"hoenn_city_pacifidlog_town","Pacifidlog Town (Hoenn)","town","false","6","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_city_pacifidlog_town_emerald.png","pacifidlog-town"
"hoenn_route_131","Route 131 (Hoenn)","route","true","6","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_131_emerald.png","route-131"
"hoenn_dungeon_sky_pillar","Sky Pillar (Hoenn)","dungeon","true","5","walk","assets/backgrounds/hoenn_dungeon_sky_pillar_emerald.png","sky-pillar"
"hoenn_dungeon_cave_of_origin","Cave of Origin (Hoenn)","dungeon","true","3","walk","assets/backgrounds/hoenn_dungeon_cave_of_origin_emerald.png","cave-of-origin"
"hoenn_city_ever_grande_city","Ever Grande City (Hoenn)","town","false","7","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_city_ever_grande_city_emerald.png","ever-grande-city"
"hoenn_dungeon_victory_road","Victory Road (Hoenn)","dungeon","true","16","good-rod|old-rod|rock-smash|super-rod|surf|walk","assets/backgrounds/hoenn_dungeon_victory_road_emerald.png","victory-road"
"hoenn_route_132","Route 132 (Hoenn)","route","true","7","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_132_emerald.png","route-132"
"hoenn_route_133","Route 133 (Hoenn)","route","true","7","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_133_emerald.png","route-133"
"hoenn_route_134","Route 134 (Hoenn)","route","true","7","good-rod|old-rod|super-rod|surf","assets/backgrounds/hoenn_route_134_emerald.png","route-134"
